task,team,timestamp,rank_video,elapsed_since_task_start_ms,QT,QT_Explanation,category,type,value,additionals
vbse001,visione4,1668157325007,3670.0,76640.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,LocalizedObjectAndColors,black+ A woman holding a steaming mug close to the camera.+ 0ablack 0bblack 0cblack 1ablack 1bblack 1cblack 2ablack 2bblack 2cblack 3ablack 3bblack 3cblack+ cup+ 1ccup 1dcup 1ecup 2ccup 2dcup 2ecup 3ccup 3dcup 3ecup,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":""classes"",""queryparameter"":""Temporal_query2, occur=and,simReorder=false""}+ {""subtype"":""position"",""queryparameter"":""Temporal_query2, occur=and,simReorder=false""}"
vbse001,visione3,1668157325633,7.0,77266.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,A woman with purple shirt holding a mug close to the camera.+ a red chinese cilonder,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,vibro1,1668157327000,385.0,78633.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman holding a coffee  ,{}
vbse001,visione1,1668157331247,3.0,82880.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,"A woman holding a steaming black mug close to the camera, dark background+ a building in the dark","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione3,1668157356811,15.0,108444.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,A woman with purple shirt holding a mug close to the camera.+ a chinise lamp,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione4,1668157359149,1740.0,110782.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,LocalizedObjectAndColors,black+ A woman holding a steaming mug close to the camera.+ 0ablack 0bblack 0cblack 1ablack 1bblack 1cblack 2ablack 2bblack 2cblack 3ablack 3bblack 3cblack+ cup+ a sign in the lamp+ 1ccup 1dcup 1ecup 2ccup 2dcup 2ecup 3ccup 3dcup 3ecup,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,vibro1,1668157372000,1600.0,123633.0,Text,type == jointEmbedding,TEXT,jointEmbedding,a chinese lantern  ,{}
vbse001,visione3,1668157373021,inf,124654.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,A woman with purple shirt holding a mug close to the camera.+ a sign in the dark,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione4,1668157374519,inf,126152.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,LocalizedObjectAndColors,black+ A woman holding a steaming mug close to the camera.+ 0ablack 0bblack 0cblack 1ablack 1bblack 1cblack 2ablack 2bblack 2cblack 3ablack 3bblack 3cblack+ a sign in the lamp,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione4,1668157382846,inf,134479.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.+ a sign in the lamp,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,vibro1,1668157385000,110.0,136633.0,Text,type == jointEmbedding,TEXT,jointEmbedding,a chinese lantern  next to a door,{}
vbse001,visione3,1668157385364,inf,136997.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,A woman with a purple shirt holding a mug close to the camera.+ a sign in the dark,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione3,1668157396939,inf,148572.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,A woman with a purple shirt holding a black mug close to the camera.+ a sign in the dark,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione3,1668157401393,17.0,153026.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,A woman with a purple shirt holding a black mug close to the camera.+ a chinise lamp,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,vibro1,1668157406000,239.0,157633.0,Text,type == jointEmbedding,TEXT,jointEmbedding,a chinese lantern next to a white door,{}
vbse001,visione3,1668157409529,1.0,161162.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,A woman with a purple shirt holding a black mug close to the camera.+ a Chinese red lamp,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione4,1668157417980,1.0,169613.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.+ a palace in the dark,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,vibro1,1668157422000,15.0,173633.0,Text,type == jointEmbedding,TEXT,jointEmbedding,a chinese door,{}
vbse001,visione3,1668157422133,1.0,173766.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,A woman with a purple shirt holding a black mug close to the camera.+ a palace in the dark,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,vibro1,1668157429000,8533.0,180633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 09006 at 00:10:04:50 (Frame #18116),{}
vbse001,vibro1,1668157454000,55.0,205633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 09006 at 00:10:04:50 (Frame #18116),{}
vbse001,vibro1,1668157458000,inf,209633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 07139 at 00:01:09:50 (Frame #1666),{}
vbse001,vibro1,1668157485000,208.0,236633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 03638 at 00:02:06:50 (Frame #3162),{}
vbse001,vibro1,1668157497000,7.0,248633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 03638 at 00:02:06:00 (Frame #3150),{}
vbse001,vibro1,1668157518000,4969.0,269633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 12610 at 00:03:05:50 (Frame #4452),{}
vbse001,vibro1,1668157534000,71.0,285633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 03638 at 00:02:05:50 (Frame #3137),{}
vbse001,vibro1,1668157547000,8623.0,298633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 17066 at 00:00:23:50 (Frame #587),{}
vbse002,vibro2,1668157577000,inf,5026.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,{}
vbse002,visione2,1668157577798,9007.0,5824.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,cvhunter3,1668157578151,136.0,6177.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{}
vbse002,visione4,1668157578558,9007.0,6584.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,vibro4,1668157579000,inf,7026.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,{}
vbse002,visione3,1668157579037,8525.0,7063.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,cvhunter3,1668157579318,136.0,7344.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{}
vbse002,visione1,1668157579730,8525.0,7756.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,cvhunter1,1668157580162,136.0,8188.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{}
vbse002,cvhunter1,1668157580949,136.0,8975.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{}
vbse002,vibro1,1668157581000,inf,9026.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,{}
vbse002,cvhunter2,1668157581353,136.0,9379.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{}
vbse002,cvhunter2,1668157582077,136.0,10103.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{}
vbse002,vibro3,1668157583000,inf,11026.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,{}
vbse002,cvhunter4,1668157586948,135.0,14974.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks,{}
vbse002,cvhunter4,1668157588245,135.0,16271.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks,{}
vbse002,vibro2,1668157594000,1281.0,22026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 01814 at 00:26:35:50 (Frame #47865),{}
vbse002,vibro3,1668157596000,1281.0,24026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 01814 at 00:26:35:50 (Frame #47865),{}
vbse002,cvhunter3,1668157596593,55.0,24619.0,Image,category == IMAGE,IMAGE,feedbackModel,Bayes CLIP 15821:2727_592:2281_11887:5949_10199:2396_5284:4072_7119:14670_2697:65222_13471:854_10199:2445_10199:4395_| group:1|16612:962_9853:22695_,{}
vbse002,visione4,1668157602996,6901.0,31022.0,Image,category == Image,Image,globalFeatures,15265/15265_24.jpg,"{""subtype"":""sematic similarity (tern)"",""queryparameter"":""simReorder=false""}"
vbse002,vibro1,1668157603000,2941.0,31026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 05637 at 00:10:36:00 (Frame #15900),{}
vbse002,vibro2,1668157604000,4343.0,32026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{}
vbse002,vibro1,1668157610000,inf,38026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 05637 at 00:10:36:00 (Frame #15900),{}
vbse002,vibro1,1668157611000,inf,39026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 05637 at 00:10:36:00 (Frame #15900),{}
vbse002,vibro1,1668157612000,inf,40026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 05637 at 00:10:36:00 (Frame #15900),{}
vbse002,cvhunter1,1668157614097,1161.0,42123.0,Image,category == IMAGE,IMAGE,feedbackModel,Bayes CLIP 15821:2727_16612:962_12565:4812_5225:238_5284:4072_7119:14670_14218:11486_10199:2400_8062:506_6949:6325_| group:1|6691:2025_10199:2486_9536:8688_,{}
vbse002,vibro2,1668157615000,inf,43026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{}
vbse002,cvhunter4,1668157615796,inf,43822.0,Image,category == IMAGE,IMAGE,JointEmbedding,16612:962 : rows=False,{}
vbse002,vibro1,1668157616000,inf,44026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 05637 at 00:10:36:00 (Frame #15900),{}
vbse002,vibro1,1668157617000,inf,45026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 05637 at 00:10:36:00 (Frame #15900),{}
vbse002,vibro1,1668157618000,inf,46026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 05637 at 00:10:36:00 (Frame #15900),{}
vbse002,vibro1,1668157619000,9043.0,47026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 05637 at 00:10:36:00 (Frame #15900),{}
vbse002,vibro2,1668157620000,4343.0,48026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{}
vbse002,vibro1,1668157620000,6249.0,48026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 05637 at 00:10:36:00 (Frame #15900),{}
vbse002,cvhunter3,1668157623948,151.0,51974.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on double railway tracks.,{}
vbse002,cvhunter3,1668157625153,151.0,53179.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on double railway tracks.,{}
vbse002,vibro2,1668157629000,1123.0,57026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{}
vbse002,vibro4,1668157629000,5627.0,57026.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks. blue tint,{}
vbse002,visione2,1668157629716,9017.0,57742.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,visione2,1668157629716,9017.0,57742.0,ODLS,type == LocalizedObjectAndColors,TEXT,LocalizedObjectAndColors,blue,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,visione2,1668157629716,9017.0,57742.0,ODLS,type == LocalizedObjectAndColors,TEXT, LocalizedObjectAndColors,0ablue 0bblue 1ablue 1bblue,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,visione2,1668157629924,2265.0,57950.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,visione2,1668157629924,2265.0,57950.0,ODLS,type == LocalizedObjectAndColors,TEXT,LocalizedObjectAndColors,blue green,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,visione2,1668157629924,2265.0,57950.0,ODLS,type == LocalizedObjectAndColors,TEXT, LocalizedObjectAndColors,0ablue 0bblue 1ablue 1bblue 3egreen 3fgreen 4egreen 4fgreen 5egreen 5fgreen,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,vibro3,1668157635000,338.0,63026.0,Text,type == jointEmbedding,TEXT,jointEmbedding,colorfull blury railway tracks,{}
vbse002,visione1,1668157636495,inf,64521.0,Image,category == Image,Image,globalFeatures,14671/14671_179.jpg,"{""subtype"":""sematic similarity (tern)"",""queryparameter"":""simReorder=false""}"
vbse002,vibro2,1668157639000,737.0,67026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 10335 at 00:27:52:50 (Frame #41812),{}
vbse002,vibro1,1668157640000,664.0,68026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 05637 at 00:10:36:00 (Frame #15900),{}
vbse002,visione3,1668157640230,inf,68256.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks+ a track in the middle of the green,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse002,vibro2,1668157642000,1123.0,70026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{}
vbse002,visione4,1668157646525,inf,74551.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.+ two tracks in the middle of the green,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse002,vibro3,1668157647000,573.0,75026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 09988 at 00:02:24:00 (Frame #3456),{}
vbse002,cvhunter3,1668157647930,189.0,75956.0,Image,category == IMAGE,IMAGE,feedbackModel,Bayes CLIP 15821:2727_11887:6054_15092:4496_10592:3364_4858:5348_13471:847_11887:5949_10199:2475_10911:25534_8062:1431_| group:1|4858:285_16612:1000_4768:240_,{}
vbse002,vibro1,1668157648000,1224.0,76026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 14238 at 00:04:33:00 (Frame #6825),{}
vbse002,visione4,1668157652619,9635.0,80645.0,Text,type == jointEmbedding,TEXT,jointEmbedding,two tracks in the middle of the green,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,vibro2,1668157653000,2018.0,81026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 14665 at 00:08:58:50 (Frame #13462),{}
vbse002,vibro4,1668157653000,4127.0,81026.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks,{}
vbse002,cvhunter1,1668157654620,137.0,82646.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast on railway tracks,{}
vbse002,cvhunter1,1668157655580,137.0,83606.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: Viewer moving fast on railway tracks,{}
vbse002,vibro2,1668157656000,1123.0,84026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{}
vbse002,vibro2,1668157658000,233.0,86026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 06568 at 00:01:42:00 (Frame #3056),{}
vbse002,visione1,1668157658708,inf,86734.0,Text,type == jointEmbedding,TEXT,jointEmbedding,"Viewer moving fast backwards on railway tracks, lots of green on the edges","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,vibro1,1668157662000,664.0,90026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 14238 at 00:04:33:00 (Frame #6825),{}
vbse002,visione4,1668157665098,inf,93124.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.+ two tracks in the middle of the green,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse002,vibro4,1668157667000,1178.0,95026.0,Text,type == jointEmbedding,TEXT,jointEmbedding,"Viewer moving fast backwards on railway tracks, blue sky",{}
vbse002,vibro1,1668157668000,140.0,96026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 13686 at 00:04:40:00 (Frame #7000),{}
vbse002,vibro2,1668157668000,1123.0,96026.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{}
vbse002,visione2,1668157668982,2917.0,97008.0,Text,type == jointEmbedding,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse002,visione2,1668157668982,2917.0,97008.0,ODLS,type == LocalizedObjectAndColors,TEXT,LocalizedObjectAndColors,blue green,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
