task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals,teamFamily
vbse005,visione4,4,1668158409471,7658.0,20392.0,2.0,106.0,2.0,TEXT,jointEmbedding,A red seaplane on a lake with forests around.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158463236,6957.0,191584.0,1652.0,inf,inf,TEXT,jointEmbedding,Woman in yellow shirt standing in a room with a yellow sofa.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158522801,66522.0,191584.0,19.0,inf,inf,TEXT,jointEmbedding,Woman in yellow shirt standing in a room with a yellow sofa.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158522801,66522.0,191584.0,19.0,inf,inf,TEXT,jointEmbedding,Yellow White flashing lights,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158531451,75172.0,191584.0,1414.0,inf,inf,TEXT,jointEmbedding,Yellow White flashing lights,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158561265,104986.0,191584.0,1011.0,1679.0,1674.0,TEXT,jointEmbedding,yellow flashing lights There is a yellow armchair and a woman in a yellow shirt,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158586483,130204.0,191584.0,1652.0,inf,inf,TEXT,jointEmbedding,Woman in yellow shirt standing in a room with a yellow sofa.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158602266,145987.0,191584.0,1946.0,inf,inf,TEXT,LocalizedObjectAndColors,black,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158602266,145987.0,191584.0,1946.0,inf,inf,TEXT,jointEmbedding,Woman in yellow shirt standing in a room with a yellow sofa.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158602266,145987.0,191584.0,1946.0,inf,inf,TEXT, LocalizedObjectAndColors,2bblack 2cblack 3bblack 3cblack 4bblack 4cblack,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158614260,157981.0,191584.0,4315.0,inf,inf,TEXT,LocalizedObjectAndColors,black,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158614260,157981.0,191584.0,4315.0,inf,inf,TEXT,jointEmbedding,Woman in yellow shirt standing in a room with a yellow sofa.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158614260,157981.0,191584.0,4315.0,inf,inf,TEXT, LocalizedObjectAndColors,4fblack 4gblack 5fblack 5gblack 6fblack 6gblack,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158634003,177724.0,191584.0,329.0,1768.0,1768.0,TEXT,LocalizedObjectAndColors,black,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158634003,177724.0,191584.0,329.0,1768.0,1768.0,TEXT,jointEmbedding,Woman in yellow shirt standing in a room with a yellow sofa and flashing lights,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione4,4,1668158634003,177724.0,191584.0,329.0,1768.0,1768.0,TEXT, LocalizedObjectAndColors,4fblack 4gblack 5fblack 5gblack 6fblack 6gblack,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse007,visione4,4,1668158712512,6922.0,11766.0,1.0,1.0,1.0,TEXT,jointEmbedding,Four people waving on a mountain summit.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158778415,6476.0,280267.0,281.0,inf,inf,TEXT,jointEmbedding,A white van driving between ruins.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158831785,59846.0,280267.0,inf,inf,inf,TEXT,jointEmbedding,A white van driving between ruins.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158831785,59846.0,280267.0,inf,inf,inf,TEXT,jointEmbedding,blue sky with clouds,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158850585,78646.0,280267.0,inf,inf,inf,TEXT,jointEmbedding,A white van driving between ruins and a wall,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158850585,78646.0,280267.0,inf,inf,inf,TEXT,jointEmbedding,blue sky with clouds,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158856000,84061.0,280267.0,293.0,inf,inf,TEXT,jointEmbedding,A white van driving between ruins and a wall,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158869940,98001.0,280267.0,793.0,6423.0,6423.0,TEXT,jointEmbedding,A white van driving between ruins and a wall with clouds,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158885526,113587.0,280267.0,272.0,2678.0,2678.0,TEXT,jointEmbedding,A white van driving between ruins and a wall and a blue sky with clouds,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158918378,146439.0,280267.0,993.0,inf,inf,TEXT,jointEmbedding,A white van driving between walls and a blue sky with clouds,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158934581,162642.0,280267.0,3906.0,inf,inf,TEXT,jointEmbedding,A white van driving between walls,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158958438,186499.0,280267.0,211.0,inf,inf,TEXT,jointEmbedding,A white van driving between stone walls,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158969074,197135.0,280267.0,inf,inf,inf,TEXT,jointEmbedding,A white van driving between,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158969074,197135.0,280267.0,inf,inf,inf,TEXT,jointEmbedding,blue sky with clouds,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158974921,202982.0,280267.0,inf,inf,inf,TEXT,jointEmbedding,A white van driving between,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158974921,202982.0,280267.0,inf,inf,inf,TEXT,jointEmbedding,stone walls,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158990941,219002.0,280267.0,inf,inf,inf,TEXT,jointEmbedding,A white van driving between,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668158990941,219002.0,280267.0,inf,inf,inf,TEXT,jointEmbedding,stone walls with a blue sky,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159001484,229545.0,280267.0,367.0,367.0,367.0,TEXT,LocalizedObjectAndColors,truck,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159001484,229545.0,280267.0,367.0,367.0,367.0,TEXT,jointEmbedding,stone walls with a blue sky,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159001484,229545.0,280267.0,367.0,367.0,367.0,TEXT, LocalizedObjectAndColors,1ctruck 1dtruck 2ctruck 2dtruck 3ctruck 3dtruck,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159012303,240364.0,280267.0,369.0,369.0,369.0,TEXT,jointEmbedding,stone walls with a blue sky,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159017526,245587.0,280267.0,176.0,inf,inf,TEXT,jointEmbedding,A white van driving between ruins.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159017526,245587.0,280267.0,176.0,inf,inf,TEXT,jointEmbedding,stone walls with a blue sky,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159019955,248016.0,280267.0,176.0,inf,inf,TEXT,jointEmbedding,A white van driving between ruins.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159019955,248016.0,280267.0,176.0,inf,inf,TEXT,jointEmbedding,stone walls with a blue sky,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159031773,259834.0,280267.0,27.0,27.0,27.0,TEXT,LocalizedObjectAndColors,truck,"{""subtype"":""classes"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159031773,259834.0,280267.0,27.0,27.0,27.0,TEXT,jointEmbedding,A white van driving between ruins.,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159031773,259834.0,280267.0,27.0,27.0,27.0,TEXT, LocalizedObjectAndColors,1ctruck 1dtruck 2ctruck 2dtruck 3ctruck 3dtruck 4ctruck 4dtruck,"{""subtype"":""position"",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione4,4,1668159031773,259834.0,280267.0,27.0,27.0,27.0,TEXT,jointEmbedding,stone walls with a blue sky,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse009,visione4,4,1668159102608,6536.0,29852.0,10.0,11.0,10.0,TEXT,jointEmbedding,Two men running backwards up a downwards moving escalator.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse010,visione4,4,1668159233928,7445.0,63109.0,60.0,60.0,60.0,TEXT,jointEmbedding,People dancing and drumming on the street at night.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159648738,6546.0,,22.0,inf,22.0,TEXT,jointEmbedding,View of a volcano with clouds moving in from the right.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159681503,39311.0,,3584.0,inf,3584.0,Image,globalFeatures,00948/00948_36.jpg,"{""subtype"":""sematic similarity (tern)"",""queryparameter"":""simReorder=false""}",visione
vbse012,visione4,4,1668159696909,54717.0,,inf,inf,inf,Image,globalFeatures,00948/00948_36.jpg,"{""subtype"":""image similarity"",""queryparameter"":""simReorder=false""}",visione
vbse012,visione4,4,1668159725827,83635.0,,128.0,inf,555.0,TEXT,LocalizedObjectAndColors,blue,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159725827,83635.0,,128.0,inf,555.0,TEXT,jointEmbedding,View of a volcano with clouds moving in from the right.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159725827,83635.0,,128.0,inf,555.0,TEXT, LocalizedObjectAndColors,0ablue 0bblue 1ablue 1bblue,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159742754,100562.0,,391.0,inf,391.0,TEXT,LocalizedObjectAndColors,blue,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159742754,100562.0,,391.0,inf,391.0,TEXT,jointEmbedding,volcano with clouds moving in from the right.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159742754,100562.0,,391.0,inf,391.0,TEXT, LocalizedObjectAndColors,0ablue 0bblue 1ablue 1bblue,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159743076,100884.0,,23.0,inf,23.0,TEXT,jointEmbedding,volcano with clouds moving in from the right.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159788692,146500.0,,460.0,inf,855.0,TEXT,jointEmbedding,mountain with clouds moving in from the right.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159815952,173760.0,,518.0,inf,1119.0,TEXT,jointEmbedding,view of a mountain with clouds moving in from the right.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159848770,206578.0,,1250.0,inf,1250.0,TEXT,jointEmbedding,view of a mountain with clouds on the right,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159859854,217662.0,,803.0,inf,803.0,TEXT,jointEmbedding,view of a mountain with clouds on the right,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159859854,217662.0,,803.0,inf,803.0,TEXT,jointEmbedding,view of a mountain with clouds on the left below,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159874038,231846.0,,70.0,inf,70.0,TEXT,jointEmbedding,view of a volcano with clouds on the right,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159874038,231846.0,,70.0,inf,70.0,TEXT,jointEmbedding,view of a mountain with clouds on the left below,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159882115,239923.0,,17.0,inf,17.0,TEXT,jointEmbedding,view of a volcano with clouds on the right,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159882115,239923.0,,17.0,inf,17.0,TEXT,jointEmbedding,view of a volcano with clouds on the left below,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159908957,266765.0,,18.0,inf,18.0,TEXT,jointEmbedding,view of a volcano with clouds,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159908957,266765.0,,18.0,inf,18.0,TEXT,jointEmbedding,view of a volcano with clouds on the left below,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse012,visione4,4,1668159923708,281516.0,,643.0,inf,inf,Image,globalFeatures,04292/04292_7.jpg,"{""subtype"":""sematic similarity (tern)"",""queryparameter"":""simReorder=false""}",visione
vbse013,visione4,4,1668160032451,7493.0,,inf,inf,inf,TEXT,LocalizedObjectAndColors,* -Flashing -shots -of -a -man -on -a -bed -and -in -front -of -a -wall.,"{""subtype"":""classes"",""queryparameter"":""occur=and,simReorder=false""}",visione
vbse013,visione4,4,1668160073386,48428.0,,inf,inf,inf,TEXT,LocalizedObjectAndColors,black  -Flashing -shots -of -a -man -on -a -bed -and -in -front -of -a -wall.,"{""subtype"":""classes"",""queryparameter"":""occur=and,simReorder=false""}",visione
