task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals,teamFamily
vbse012,vibro2,2,1668159648000,5808.0,43101.0,55.0,62.0,62.0,TEXT,jointEmbedding,View of a volcano with clouds moving in from the right.,{},vibro
vbse012,vibro2,2,1668159663000,20808.0,43101.0,90.0,90.0,90.0,IMAGE,globalFeatures, video 03914 at 00:02:16:00 (Frame #3260),{},vibro
vbse013,vibro2,2,1668160029000,4042.0,,9463.0,inf,inf,TEXT,jointEmbedding,Flashing shots of a man on a bed and in front of a wall.,{},vibro
vbse013,vibro2,2,1668160058000,33042.0,,2367.0,2367.0,2367.0,IMAGE,globalFeatures, video 09225 at 00:17:10:00 (Frame #30869),{},vibro
vbse013,vibro2,2,1668160079000,54042.0,,inf,inf,inf,TEXT,jointEmbedding,Men in front of a wall.,{},vibro
vbse013,vibro2,2,1668160089000,64042.0,,2650.0,inf,inf,TEXT,jointEmbedding,Men in front of a wall in the dark,{},vibro
vbse013,vibro2,2,1668160095000,70042.0,,2438.0,inf,inf,TEMPORAL,text > text,Flashing shots of a man on a bed and in front of a wall.  >  Men in front of a wall in the dark,{},vibro
vbse013,vibro2,2,1668160116000,91042.0,,3346.0,8811.0,8811.0,TEMPORAL,text > text,Flashing shots of a man on a bed and in front of a wall.  >  Men in front of a wall in the dark,{},vibro
vbse013,vibro2,2,1668160137000,112042.0,,2130.0,3714.0,3714.0,TEMPORAL,frame > text,frame 0229.jpg in video 06215 at 00:01:54:00 (Frame #2850)  >  Men in front of a wall in the dark,{},vibro
vbse013,vibro2,2,1668160142000,117042.0,,274.0,inf,1610.0,TEMPORAL,text > text,Man on a bed and in front of a wall.  >  Men in front of a wall in the dark,{},vibro
vbse013,vibro2,2,1668160152000,127042.0,,2503.0,3488.0,3488.0,TEMPORAL,frame > text,frame 1257.jpg in video 00606 at 00:10:28:00 (Frame #15056)  >  Men in front of a wall in the dark,{},vibro
vbse013,vibro2,2,1668160159000,134042.0,,1717.0,4276.0,4276.0,TEMPORAL,frame > text,frame 1257.jpg in video 00606 at 00:10:28:00 (Frame #15056)  >  Men in front of a wall in the dark,{},vibro
vbse013,vibro2,2,1668160166000,141042.0,,2438.0,inf,inf,TEMPORAL,text > text,Face of a Man on a bed.  >  Men in front of a wall in the dark,{},vibro
vbse013,vibro2,2,1668160187000,162042.0,,1054.0,1054.0,1054.0,TEMPORAL,text > frame,Face of a Man on a bed.  >  frame 2141.jpg in video 10335 at 00:17:50:00 (Frame #26750),{},vibro
vbse013,vibro2,2,1668160204000,179042.0,,2913.0,5081.0,5081.0,TEMPORAL,text > text,Face of a Man on a bed.  >  Hand in the dark in front of a wall,{},vibro
vbse013,vibro2,2,1668160217000,192042.0,,3606.0,8716.0,8716.0,TEMPORAL,text > text,Face of a Man on a bed.  >  Hand in the dark in front of a wall,{},vibro
vbse013,vibro2,2,1668160252000,227042.0,,inf,inf,inf,TEMPORAL,text > text,Face of a Man on a bed.  >  Hand in the dark in front of a wall,{},vibro
vbse013,vibro2,2,1668160266000,241042.0,,1953.0,inf,inf,TEMPORAL,text > text,Face of a Man on a bed.  >  Hand in the dark in front of a wall,{},vibro
vbse013,vibro2,2,1668160280000,255042.0,,2290.0,6623.0,6623.0,TEMPORAL,text > text,Face of a Man on a bed.  >  Hand in the dark in front of a wall,{},vibro
vbse013,vibro2,2,1668160300000,275042.0,,1684.0,5366.0,1684.0,TEMPORAL,text > text,Face of a Man on a bed.  >  Hand in the dark in front of a wall,{},vibro
vbse013,vibro2,2,1668160305000,280042.0,,9707.0,9707.0,9707.0,IMAGE,globalFeatures, video 16596 at 00:01:52:50 (Frame #2700),{},vibro
vbse013,vibro2,2,1668160306000,281042.0,,914.0,1309.0,914.0,TEMPORAL,frame > text,frame 0226.jpg in video 16596 at 00:01:52:50 (Frame #2700)  >  Hand in the dark in front of a wall,{},vibro
vbse013,vibro2,2,1668160314000,289042.0,,2619.0,2939.0,2939.0,TEMPORAL,text > text,Face of a Man on a bed.  >  Hand in the dark in front of a wall,{},vibro
vbse013,vibro2,2,1668160322000,297042.0,,3252.0,4690.0,4690.0,TEMPORAL,text > text,Face of a Man on a bed.  >  Hand in the dark in front of a wall,{},vibro
vbse014,vibro2,2,1668160411000,3483.0,20182.0,29.0,29.0,29.0,TEXT,jointEmbedding,A white dress is waving in the wind over the floor.,{},vibro
vbse015,vibro2,2,1668161586000,3405.0,20899.0,1.0,1.0,1.0,TEXT,jointEmbedding,A man lighting at a piano with a flashlight.,{},vibro
vbse015,vibro2,2,1668161594000,11405.0,20899.0,1.0,inf,1.0,IMAGE,globalFeatures, video 03184 at 00:01:29:50 (Frame #2237),{},vibro
vbse016,vibro2,2,1668161938000,2188.0,8421.0,8.0,8.0,8.0,TEXT,jointEmbedding,Small boats tied in the harbour in front of a cruise ship.,{},vibro
vbse017,vibro2,2,1668162575000,2538.0,38394.0,38.0,38.0,38.0,TEXT,jointEmbedding,A person roasting coffee beans.,{},vibro
vbse018,vibro2,2,1668163563000,2323.0,17801.0,3.0,3.0,3.0,TEXT,jointEmbedding,A black-haired woman in a red dress walks down stairs.,{},vibro
vbse019,vibro2,2,1668163682000,2104.0,55085.0,237.0,237.0,237.0,TEXT,jointEmbedding,A couple in black clothes kisses outside.,{},vibro
vbse019,vibro2,2,1668163720000,40104.0,55085.0,118.0,118.0,118.0,IMAGE,globalFeatures, video 15536 at 00:03:50:00 (Frame #6915),{},vibro
vbse019,vibro2,2,1668163726000,46104.0,55085.0,11.0,11.0,11.0,IMAGE,globalFeatures, video 14537 at 00:01:36:00 (Frame #2301),{},vibro
vbse020,vibro2,2,1668163901000,3609.0,87542.0,62.0,266.0,266.0,TEXT,jointEmbedding,Actors in historic costumes celebrate their theater performance.,{},vibro
vbse020,vibro2,2,1668163944000,46609.0,87542.0,210.0,980.0,980.0,IMAGE,globalFeatures, video 09065 at 00:01:01:00 (Frame #1537),{},vibro
vbse020,vibro2,2,1668163953000,55609.0,87542.0,774.0,774.0,774.0,IMAGE,globalFeatures, video 09065 at 00:01:01:00 (Frame #1537),{},vibro
vbse020,vibro2,2,1668163975000,77609.0,87542.0,1.0,4.0,4.0,IMAGE,globalFeatures, video 09065 at 00:01:01:00 (Frame #1537),{},vibro
vbse021,vibro2,2,1668164275000,3577.0,10011.0,1.0,inf,1.0,TEXT,jointEmbedding,Men cutting and sculpting ice blocks with a chain saw.,{},vibro
vbse022,vibro2,2,1668164330000,2127.0,13789.0,8.0,9.0,9.0,TEXT,jointEmbedding,People playing table tennis in an office space.,{},vibro
vbse023,vibro2,2,1668164506000,2067.0,174447.0,384.0,inf,1928.0,TEXT,jointEmbedding,Pan between two motocross tracks with bikers moving from/to the camera.,{},vibro
vbse023,vibro2,2,1668164517000,13067.0,174447.0,3002.0,inf,3002.0,IMAGE,globalFeatures, video 11039 at 00:06:07:00 (Frame #8811),{},vibro
vbse023,vibro2,2,1668164520000,16067.0,174447.0,284.0,inf,1820.0,IMAGE,globalFeatures, video 11039 at 00:06:07:00 (Frame #8811),{},vibro
vbse023,vibro2,2,1668164522000,18067.0,174447.0,280.0,inf,1766.0,IMAGE,globalFeatures, video 11039 at 00:06:07:00 (Frame #8811),{},vibro
vbse023,vibro2,2,1668164524000,20067.0,174447.0,362.0,inf,1841.0,IMAGE,globalFeatures, video 11039 at 00:06:07:00 (Frame #8811),{},vibro
vbse023,vibro2,2,1668164554000,50067.0,174447.0,68.0,inf,68.0,IMAGE,globalFeatures, video 11039 at 00:06:07:00 (Frame #8811),{},vibro
vbse023,vibro2,2,1668164575000,71067.0,174447.0,1899.0,inf,inf,IMAGE,globalFeatures, video 11039 at 00:06:07:00 (Frame #8811),{},vibro
vbse023,vibro2,2,1668164580000,76067.0,174447.0,117.0,inf,inf,IMAGE,globalFeatures, video 06777 at 00:01:41:00 (Frame #2537),{},vibro
vbse023,vibro2,2,1668164585000,81067.0,174447.0,241.0,inf,inf,IMAGE,globalFeatures, video 06777 at 00:01:41:00 (Frame #2537),{},vibro
vbse023,vibro2,2,1668164587000,83067.0,174447.0,1224.0,inf,inf,IMAGE,globalFeatures, video 06777 at 00:01:41:00 (Frame #2537),{},vibro
vbse023,vibro2,2,1668164600000,96067.0,174447.0,35.0,inf,inf,IMAGE,globalFeatures, video 06777 at 00:01:41:00 (Frame #2537),{},vibro
vbse023,vibro2,2,1668164608000,104067.0,174447.0,3.0,3.0,3.0,IMAGE,globalFeatures, video 05255 at 00:01:14:00 (Frame #1850),{},vibro
vbse023,vibro2,2,1668164655000,151067.0,174447.0,1.0,1.0,1.0,IMAGE,globalFeatures, video 04984 at 00:02:19:00 (Frame #3487),{},vibro
vbse024,vibro2,2,1668164830000,2456.0,26014.0,44.0,44.0,44.0,TEXT,jointEmbedding,Red oldtimer truck and bride getting in.,{},vibro
vbse025,vibro2,2,1668164958000,2789.0,166481.0,781.0,1139.0,1139.0,TEXT,jointEmbedding,Aerial shot moving up a parking lot over the trees.,{},vibro
vbse025,vibro2,2,1668164970000,14789.0,166481.0,2871.0,2871.0,2871.0,IMAGE,globalFeatures, video 00939 at 00:03:58:00 (Frame #7132),{},vibro
vbse025,vibro2,2,1668164971000,15789.0,166481.0,325.0,325.0,325.0,IMAGE,globalFeatures, video 00939 at 00:03:58:00 (Frame #7132),{},vibro
vbse025,vibro2,2,1668164988000,32789.0,166481.0,1396.0,1396.0,1396.0,TEMPORAL,frame > text,frame 0477.jpg in video 00939 at 00:03:58:00 (Frame #7132)  >  ,{},vibro
vbse025,vibro2,2,1668165016000,60789.0,166481.0,46.0,46.0,46.0,TEMPORAL,frame > text,frame 0477.jpg in video 00939 at 00:03:58:00 (Frame #7132)  >  ,{},vibro
vbse025,vibro2,2,1668165043000,87789.0,166481.0,78.0,78.0,78.0,TEMPORAL,frame > text,frame 0477.jpg in video 00939 at 00:03:58:00 (Frame #7132)  >  ,{},vibro
vbse025,vibro2,2,1668165049000,93789.0,166481.0,61.0,61.0,61.0,TEMPORAL,frame > text,frame 0477.jpg in video 00939 at 00:03:58:00 (Frame #7132)  >  ,{},vibro
vbse025,vibro2,2,1668165056000,100789.0,166481.0,392.0,392.0,392.0,TEMPORAL,text > text,Aerial shot moving up a parking cars and trees.  >  ,{},vibro
vbse025,vibro2,2,1668165061000,105789.0,166481.0,85.0,85.0,85.0,TEMPORAL,text > text,Aerial shot moving up a parking cars and trees.  >  ,{},vibro
vbse025,vibro2,2,1668165086000,130789.0,166481.0,37.0,37.0,37.0,TEMPORAL,frame > text,frame 0038.jpg in video 02891 at 00:00:18:00 (Frame #554)  >  ,{},vibro
vbse025,vibro2,2,1668165091000,135789.0,166481.0,163.0,163.0,163.0,TEMPORAL,text > text,White and black cars on a street with trees in the background.  >  ,{},vibro
vbse025,vibro2,2,1668165110000,154789.0,166481.0,6.0,30.0,6.0,TEMPORAL,text > text,White and black cars on a street with trees in the background.  >  ,{},vibro
vbse026,vibro2,2,1668165367000,2744.0,39232.0,141.0,228.0,228.0,TEXT,jointEmbedding,A man ski touring an pulling a red sledge.,{},vibro
vbse026,vibro2,2,1668165375000,10744.0,39232.0,73.0,73.0,73.0,IMAGE,globalFeatures, video 04739 at 00:01:50:00 (Frame #3311),{},vibro
vbse026,vibro2,2,1668165393000,28744.0,39232.0,10.0,10.0,10.0,IMAGE,globalFeatures, video 04739 at 00:01:42:00 (Frame #3056),{},vibro
vbse028,vibro2,2,1668165748000,3266.0,51276.0,15.0,15.0,15.0,TEXT,jointEmbedding,View from a car driving cross country and through a dirty side window.,{},vibro
vbse028,vibro2,2,1668165752000,7266.0,51276.0,1.0,1.0,1.0,IMAGE,globalFeatures, video 12309 at 00:01:05:00 (Frame #1963),{},vibro
vbse029,vibro2,2,1668166051000,2515.0,23077.0,121.0,121.0,121.0,TEXT,jointEmbedding,Bride getting dressed by three women in front of a mirror.,{},vibro
vbse029,vibro2,2,1668166059000,10515.0,23077.0,9.0,9.0,9.0,IMAGE,globalFeatures, video 00599 at 00:01:04:00 (Frame #1612),{},vibro
vbse029,vibro2,2,1668166062000,13515.0,23077.0,4.0,4.0,4.0,IMAGE,globalFeatures, video 00599 at 00:01:04:00 (Frame #1612),{},vibro
vbse030,vibro2,2,1668166380000,2957.0,10761.0,9.0,9.0,9.0,TEXT,jointEmbedding,View of two bridges in Venice from the water.,{},vibro
vbse031,vibro2,2,1668170067000,1677.0,98699.0,1449.0,1765.0,1765.0,TEXT,jointEmbedding,"Close-ups of drum and guitar playing, and shots of people standing by the bushes.",{},vibro
vbse031,vibro2,2,1668170087000,21677.0,98699.0,1747.0,8070.0,4368.0,TEXT,jointEmbedding,"Close-ups of drum and guitar playing, and shots of people standing by the bushes.",{},vibro
vbse031,vibro2,2,1668170117000,51677.0,98699.0,3852.0,9339.0,9339.0,TEMPORAL,text > text,"Close-ups of drum and guitar playing, and shots of people standing by the bushes.  >  ",{},vibro
vbse031,vibro2,2,1668170136000,70677.0,98699.0,2777.0,5148.0,5148.0,TEMPORAL,text > frame,"Close-ups of drum and guitar playing, and shots of people standing by the bushes.  >  frame 0571.jpg in video 02960 at 00:04:45:00 (Frame #7125)",{},vibro
vbse031,vibro2,2,1668170143000,77677.0,98699.0,10.0,509.0,509.0,TEMPORAL,text > text,"Close-ups of drum and guitar playing, and shots of people standing by the bushes.  >  close-up of a black man with a leave in front.",{},vibro
vbse031,vibro2,2,1668170152000,86677.0,98699.0,5.0,6.0,6.0,TEMPORAL,frame > text,frame 0163.jpg in video 17159 at 00:01:21:00 (Frame #2025)  >  close-up of a black man with a leave in front.,{},vibro
vbse032,vibro2,2,1668170415000,3478.0,46476.0,19.0,inf,936.0,TEXT,jointEmbedding,A person interacting with a sound-effects keyboard.,{},vibro
vbse033,vibro2,2,1668170949000,3754.0,82510.0,68.0,68.0,68.0,TEXT,jointEmbedding,Close-ups of ochre rocks with curvy carvings.,{},vibro
vbse033,vibro2,2,1668170962000,16754.0,82510.0,1465.0,2234.0,1465.0,IMAGE,globalFeatures, video 08541 at 00:06:51:00 (Frame #9876),{},vibro
vbse033,vibro2,2,1668170983000,37754.0,82510.0,3819.0,3819.0,3819.0,IMAGE,globalFeatures, video 08541 at 00:06:51:00 (Frame #9876),{},vibro
vbse033,vibro2,2,1668170989000,43754.0,82510.0,1465.0,2234.0,1465.0,IMAGE,globalFeatures, video 08541 at 00:06:51:00 (Frame #9876),{},vibro
vbse033,vibro2,2,1668171007000,61754.0,82510.0,3150.0,3150.0,3150.0,IMAGE,globalFeatures, video 11059 at 00:05:01:00 (Frame #7224),{},vibro
vbse033,vibro2,2,1668171013000,67754.0,82510.0,97.0,97.0,97.0,IMAGE,globalFeatures, video 08541 at 00:06:51:00 (Frame #9876),{},vibro
vbse033,vibro2,2,1668171017000,71754.0,82510.0,41.0,41.0,41.0,IMAGE,globalFeatures, video 08541 at 00:06:51:00 (Frame #9876),{},vibro
vbse033,vibro2,2,1668171018000,72754.0,82510.0,32.0,32.0,32.0,IMAGE,globalFeatures, video 08541 at 00:06:51:00 (Frame #9876),{},vibro
vbse033,vibro2,2,1668171020000,74754.0,82510.0,1.0,1.0,1.0,IMAGE,globalFeatures, video 02808 at 00:03:39:00 (Frame #6578),{},vibro
vbse034,vibro2,2,1668171295000,2787.0,20318.0,11.0,11.0,11.0,TEXT,jointEmbedding,A black-and-white video showing a diver moving upwards.,{},vibro
vbse035,vibro2,2,1668171415000,1911.0,113546.0,56.0,inf,56.0,TEXT,jointEmbedding,"A moving ferris wheel, recorded from the front and below.",{},vibro
vbse035,vibro2,2,1668171433000,19911.0,113546.0,12.0,inf,12.0,TEXT,jointEmbedding,"A moving ferris wheel, recorded from the front and below.",{},vibro
vbse035,vibro2,2,1668171458000,44911.0,113546.0,36.0,inf,36.0,TEMPORAL,text > text,"A moving ferris wheel, recorded from the front and below.  >  ",{},vibro
vbse035,vibro2,2,1668171470000,56911.0,113546.0,159.0,inf,159.0,TEMPORAL,text > text,"A moving ferris wheel, recorded from the front and below.  >  ",{},vibro
vbse035,vibro2,2,1668171489000,75911.0,113546.0,66.0,inf,66.0,TEMPORAL,text > text,"A moving ferris wheel, recorded from the front and below.  >  ",{},vibro
vbse035,vibro2,2,1668171490000,76911.0,113546.0,29.0,inf,29.0,TEMPORAL,frame > text,frame 0292.jpg in video 02241 at 00:02:25:00 (Frame #3637)  >  ,{},vibro
vbse035,vibro2,2,1668171491000,77911.0,113546.0,27.0,inf,27.0,TEMPORAL,frame > text,frame 0292.jpg in video 02241 at 00:02:25:00 (Frame #3637)  >  ,{},vibro
vbse035,vibro2,2,1668171495000,81911.0,113546.0,152.0,inf,152.0,TEMPORAL,text > text,"A moving ferris wheel, recorded from the front and below.  >  ",{},vibro
vbse037,vibro2,2,1668171774000,2204.0,109317.0,16.0,inf,16.0,TEXT,jointEmbedding,A group of people paddling in a boat at night.,{},vibro
vbse037,vibro2,2,1668171779000,7204.0,109317.0,223.0,7156.0,7155.0,IMAGE,globalFeatures, video 03806 at 00:06:40:00 (Frame #10012),{},vibro
vbse037,vibro2,2,1668171782000,10204.0,109317.0,105.0,inf,991.0,IMAGE,globalFeatures, video 03806 at 00:06:40:00 (Frame #10012),{},vibro
vbse037,vibro2,2,1668171807000,35204.0,109317.0,16.0,inf,16.0,TEXT,jointEmbedding,A group of people paddling in a boat at night.,{},vibro
vbse037,vibro2,2,1668171815000,43204.0,109317.0,3.0,inf,2571.0,IMAGE,globalFeatures, video 15417 at 00:01:53:00 (Frame #3401),{},vibro
vbse037,vibro2,2,1668171834000,62204.0,109317.0,1.0,4701.0,6.0,IMAGE,globalFeatures, video 07542 at 00:17:36:00 (Frame #25330),{},vibro
vbse037,vibro2,2,1668171841000,69204.0,109317.0,1.0,inf,3.0,IMAGE,globalFeatures, video 07542 at 00:17:36:00 (Frame #25330),{},vibro
vbse038,vibro2,2,1668172158000,2197.0,166767.0,253.0,3321.0,3321.0,TEXT,jointEmbedding,A demonstration of the setup of a metal oven flue through the roof.,{},vibro
vbse038,vibro2,2,1668172209000,53197.0,166767.0,inf,inf,inf,TEXT,jointEmbedding,Twist to lock,{},vibro
vbse038,vibro2,2,1668172216000,60197.0,166767.0,253.0,3321.0,363.0,TEXT,jointEmbedding,A demonstration of the setup of a metal oven flue through the roof.,{},vibro
vbse038,vibro2,2,1668172233000,77197.0,166767.0,inf,inf,inf,TEXT,jointEmbedding,Twist to lock,{},vibro
vbse038,vibro2,2,1668172238000,82197.0,166767.0,253.0,3321.0,363.0,TEXT,jointEmbedding,A demonstration of the setup of a metal oven flue through the roof.,{},vibro
vbse038,vibro2,2,1668172256000,100197.0,166767.0,9110.0,inf,inf,TEXT,jointEmbedding,metal plate on white background,{},vibro
vbse038,vibro2,2,1668172268000,112197.0,166767.0,719.0,8668.0,8668.0,IMAGE,globalFeatures, video 02806 at 00:06:36:00 (Frame #23736),{},vibro
vbse038,vibro2,2,1668172269000,113197.0,166767.0,94.0,4035.0,94.0,TEXT,jointEmbedding,A demonstration of the setup of a metal oven flue through the roof.,{},vibro
vbse038,vibro2,2,1668172272000,116197.0,166767.0,5916.0,5916.0,5916.0,IMAGE,globalFeatures, video 02806 at 00:06:36:00 (Frame #23736),{},vibro
vbse038,vibro2,2,1668172273000,117197.0,166767.0,14.0,203.0,14.0,TEXT,jointEmbedding,A demonstration of the setup of a metal oven flue through the roof.,{},vibro
vbse038,vibro2,2,1668172282000,126197.0,166767.0,910.0,inf,inf,TEMPORAL,text > frame,A demonstration of the setup of a metal oven flue through the roof.  >  frame 0793.jpg in video 02806 at 00:06:36:00 (Frame #23736),{},vibro
vbse038,vibro2,2,1668172293000,137197.0,166767.0,159.0,3413.0,159.0,TEMPORAL,frame > frame,frame 0035.jpg in video 00360 at 00:00:17:00 (Frame #425)  >  frame 0793.jpg in video 02806 at 00:06:36:00 (Frame #23736),{},vibro
vbse039,vibro2,2,1668172347000,2589.0,22682.0,140.0,140.0,140.0,TEXT,jointEmbedding,A rock carving followed by a picture of a stone/rock sculpture.,{},vibro
vbse040,vibro2,2,1668172597000,2636.0,53398.0,730.0,inf,inf,TEXT,jointEmbedding,A black-dressed woman interviews another black-dressed woman.,{},vibro
