task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals,teamFamily
vbse002,visione1,1,1668157728238,156264.0,,inf,inf,inf,4406.0,TEXT,LocalizedObjectAndColors,green,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157728238,156264.0,,inf,inf,inf,4406.0,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157728238,156264.0,,inf,inf,inf,4406.0,TEXT, LocalizedObjectAndColors,0cgreen 0dgreen 1cgreen 1dgreen 2cgreen 2dgreen,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157732029,160055.0,,inf,inf,inf,3516.0,TEXT,jointEmbedding,"Viewer moving fast backwards on railway tracks, green on the side","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157732029,160055.0,,inf,inf,inf,3516.0,TEXT,jointEmbedding,"Viewer moving fast backwards on railway tracks, green on the side","{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157738521,166547.0,,inf,inf,inf,3892.0,TEXT,jointEmbedding,"Viewer moving fast backwards on railway tracks, green on the side","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157738521,166547.0,,inf,inf,inf,3892.0,TEXT,LocalizedObjectAndColors,green,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157738521,166547.0,,inf,inf,inf,3892.0,TEXT,jointEmbedding,"Viewer moving fast backwards on railway tracks, green on the side","{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157738521,166547.0,,inf,inf,inf,3892.0,TEXT, LocalizedObjectAndColors,0cgreen 0dgreen 1cgreen 1dgreen 2cgreen 2dgreen,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157755391,183417.0,,inf,inf,inf,1000.0,Image,globalFeatures,04858/04858_10.jpg,"{""subtype"":""sematic video similarity (clip)"",""queryparameter"":""simReorder=false""}",visione
vbse002,visione1,1,1668157795171,223197.0,,inf,inf,inf,1000.0,Image,globalFeatures,16612/16612_17.jpg,"{""subtype"":""sematic video similarity (clip)"",""queryparameter"":""simReorder=false""}",visione
vbse002,visione1,1,1668157837026,265052.0,,719.0,719.0,719.0,10000.0,Image,globalFeatures,16612/16612_17.jpg,"{""subtype"":""sematic similarity (tern)"",""queryparameter"":""simReorder=false""}",visione
vbse002,visione1,1,1668157860435,288461.0,,inf,inf,inf,3034.0,TEXT,jointEmbedding,"Viewer moving fast backwards on railway tracks, green on the side","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157860435,288461.0,,inf,inf,inf,3034.0,TEXT,jointEmbedding,"railway tracks, green on the side","{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse003,visione1,1,1668157951606,9029.0,75466.0,197.0,312.0,312.0,10000.0,TEXT,jointEmbedding,Close-up shot of water waves reflecting the sun,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse004,visione1,1,1668158287351,12764.0,92282.0,241.0,2888.0,241.0,10000.0,TEXT,jointEmbedding,A woman having a mobile phone call in bed,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse004,visione1,1,1668158329763,55176.0,92282.0,67.0,686.0,68.0,10000.0,TEXT,jointEmbedding,"A woman having a mobile phone call in bed, a marble column on the left","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse004,visione1,1,1668158348145,73558.0,92282.0,85.0,978.0,86.0,4814.0,TEXT,jointEmbedding,"A woman having a mobile phone call in bed, a marble column on the left","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse004,visione1,1,1668158348145,73558.0,92282.0,85.0,978.0,86.0,4814.0,TEXT,jointEmbedding,A woman having a mobile phone call in bed,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse005,visione1,1,1668158410270,8457.0,25613.0,1.0,67.0,1.0,10000.0,TEXT,jointEmbedding,A red seaplane on a lake with forests around.Scores of Visual KIS + initial query,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse005,visione1,1,1668158418496,16683.0,25613.0,2.0,107.0,2.0,10000.0,TEXT,jointEmbedding,A red seaplane on a lake with forests around.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158465011,8732.0,213276.0,1652.0,inf,inf,10000.0,TEXT,jointEmbedding,Woman in yellow shirt standing in a room with a yellow sofa.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158496744,40465.0,213276.0,inf,inf,inf,1000.0,Image,globalFeatures,08045/08045_64.jpg,"{""subtype"":""sematic video similarity (clip)"",""queryparameter"":""simReorder=false""}",visione
vbse006,visione1,1,1668158501953,45674.0,213276.0,1652.0,inf,inf,10000.0,TEXT,jointEmbedding,Woman in yellow shirt standing in a room with a yellow sofa.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158530196,73917.0,213276.0,743.0,1973.0,1973.0,10000.0,TEXT,jointEmbedding,"Woman in yellow shirt standing in a room with a yellow sofa, horizontal black and white lights","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158540394,84115.0,213276.0,748.0,3384.0,3383.0,10000.0,TEXT,jointEmbedding,"Woman in shirt standing in a room with a yellow sofa, horizontal black and white lights","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158547300,91021.0,213276.0,466.0,1420.0,1420.0,10000.0,TEXT,jointEmbedding,"Woman in shirt standing in a corner room with a yellow sofa, horizontal black and white lights","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158557798,101519.0,213276.0,471.0,1561.0,1561.0,6096.0,TEXT,jointEmbedding,Woman in shirt standing in a corner room with a yellow sofa,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158557798,101519.0,213276.0,471.0,1561.0,1561.0,6096.0,TEXT,jointEmbedding,Woman in shirt standing in a corner room with a yellow sofa,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158565693,109414.0,213276.0,737.0,1699.0,1699.0,5839.0,TEXT,jointEmbedding,Woman in shirt standing in a corner room with a yellow sofa,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158565693,109414.0,213276.0,737.0,1699.0,1699.0,5839.0,TEXT,LocalizedObjectAndColors,couch,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158565693,109414.0,213276.0,737.0,1699.0,1699.0,5839.0,TEXT,jointEmbedding,Woman in shirt standing in a corner room with a yellow sofa,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158565693,109414.0,213276.0,737.0,1699.0,1699.0,5839.0,TEXT, LocalizedObjectAndColors,2acouch 2bcouch 3acouch 3bcouch 4acouch 4bcouch,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158566361,110082.0,213276.0,597.0,1322.0,1322.0,5788.0,TEXT,jointEmbedding,Woman in shirt standing in a corner room with a yellow sofa,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158566361,110082.0,213276.0,597.0,1322.0,1322.0,5788.0,TEXT,LocalizedObjectAndColors,couch yellow,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158566361,110082.0,213276.0,597.0,1322.0,1322.0,5788.0,TEXT,jointEmbedding,Woman in shirt standing in a corner room with a yellow sofa,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158566361,110082.0,213276.0,597.0,1322.0,1322.0,5788.0,TEXT, LocalizedObjectAndColors,2acouch 2bcouch 3acouch 3bcouch 4acouch 4bcouch 1ayellow 1byellow 2ayellow 2byellow 3ayellow 3byellow 4ayellow 4byellow,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158596220,139941.0,213276.0,338.0,896.0,896.0,4383.0,TEXT,jointEmbedding,"Woman in shirt standing in a corner room with a yellow sofa, horizontal black and white lights","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158596220,139941.0,213276.0,338.0,896.0,896.0,4383.0,TEXT,LocalizedObjectAndColors,couch yellow,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158596220,139941.0,213276.0,338.0,896.0,896.0,4383.0,TEXT,jointEmbedding,Woman in shirt standing in a corner room with a yellow sofa,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158596220,139941.0,213276.0,338.0,896.0,896.0,4383.0,TEXT, LocalizedObjectAndColors,2acouch 2bcouch 3acouch 3bcouch 4acouch 4bcouch 1ayellow 1byellow 2ayellow 2byellow 3ayellow 3byellow 4ayellow 4byellow,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158609614,153335.0,213276.0,107.0,504.0,504.0,4633.0,TEXT,jointEmbedding,"Woman in shirt standing in a corner room with a yellow sofa, flash lights","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158609614,153335.0,213276.0,107.0,504.0,504.0,4633.0,TEXT,LocalizedObjectAndColors,couch yellow,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158609614,153335.0,213276.0,107.0,504.0,504.0,4633.0,TEXT,jointEmbedding,Woman in shirt standing in a corner room with a yellow sofa,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158609614,153335.0,213276.0,107.0,504.0,504.0,4633.0,TEXT, LocalizedObjectAndColors,2acouch 2bcouch 3acouch 3bcouch 4acouch 4bcouch 1ayellow 1byellow 2ayellow 2byellow 3ayellow 3byellow 4ayellow 4byellow,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158611155,154876.0,213276.0,148.0,790.0,790.0,10000.0,TEXT,jointEmbedding,"Woman in shirt standing in a corner room with a yellow sofa, flash lights","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158621912,165633.0,213276.0,359.0,1149.0,1149.0,10000.0,TEXT,jointEmbedding,"Woman in yellow shirt standing in a corner room with a yellow sofa, flash lights","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse006,visione1,1,1668158627498,171219.0,213276.0,146.0,881.0,881.0,10000.0,TEXT,jointEmbedding,"Woman in yellow shirt standing in a corner with a yellow sofa, flash lights","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse007,visione1,1,1668158714466,8876.0,12854.0,1.0,1.0,1.0,10000.0,TEXT,jointEmbedding,Four people waving on a mountain summit.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158780196,8257.0,289275.0,281.0,inf,inf,10000.0,TEXT,jointEmbedding,A white van driving between ruins.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158827445,55506.0,289275.0,408.0,2948.0,2948.0,10000.0,TEXT,jointEmbedding,"A white van driving between ruins, the blue sky with clouds","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158858342,86403.0,289275.0,216.0,216.0,216.0,755.0,TEXT,jointEmbedding,"A white van driving between ruins, the blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158858342,86403.0,289275.0,216.0,216.0,216.0,755.0,TEXT,jointEmbedding,ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158870337,98398.0,289275.0,193.0,193.0,193.0,796.0,TEXT,jointEmbedding,"A white van driving between ruins, the blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158870337,98398.0,289275.0,193.0,193.0,193.0,796.0,TEXT,jointEmbedding,stone ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158879649,107710.0,289275.0,294.0,294.0,294.0,4441.0,TEXT,jointEmbedding,"A white van driving between ruins, the blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158879649,107710.0,289275.0,294.0,294.0,294.0,4441.0,TEXT,LocalizedObjectAndColors,car,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158879649,107710.0,289275.0,294.0,294.0,294.0,4441.0,TEXT,jointEmbedding,stone ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158879649,107710.0,289275.0,294.0,294.0,294.0,4441.0,TEXT, LocalizedObjectAndColors,2ccar 2dcar 2ecar 3ccar 3dcar 3ecar 4ccar 4dcar 4ecar,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158885508,113569.0,289275.0,193.0,193.0,193.0,796.0,TEXT,jointEmbedding,"A white van driving between ruins, the blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158885508,113569.0,289275.0,193.0,193.0,193.0,796.0,TEXT,jointEmbedding,stone ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158896714,124775.0,289275.0,84.0,392.0,392.0,1408.0,TEXT,jointEmbedding,"A white van driving between ruins, the blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158896714,124775.0,289275.0,84.0,392.0,392.0,1408.0,TEXT,jointEmbedding,stone ruins and a whoite van,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158898575,126636.0,289275.0,69.0,615.0,615.0,1623.0,TEXT,jointEmbedding,"A white van driving between ruins, the blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158898575,126636.0,289275.0,69.0,615.0,615.0,1623.0,TEXT,jointEmbedding,stone ruins and a white van,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158904520,132581.0,289275.0,408.0,2948.0,2948.0,10000.0,TEXT,jointEmbedding,"A white van driving between ruins, the blue sky with clouds","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158910477,138538.0,289275.0,103.0,1768.0,1768.0,10000.0,TEXT,jointEmbedding,"A white van driving between stone ruins, the blue sky with clouds","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158931515,159576.0,289275.0,67.0,533.0,533.0,1867.0,TEXT,jointEmbedding,"A white van driving between stone ruins, the blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158931515,159576.0,289275.0,67.0,533.0,533.0,1867.0,TEXT,jointEmbedding,stone ruins and a white van,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158939127,167188.0,289275.0,40.0,1343.0,1343.0,2150.0,TEXT,jointEmbedding,"A white van driving between stone ruins, the blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158939127,167188.0,289275.0,40.0,1343.0,1343.0,2150.0,TEXT,jointEmbedding,A white van driving between stone ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158950593,178654.0,289275.0,48.0,1505.0,1505.0,2176.0,TEXT,jointEmbedding,"A white van driving between stone ruins, there is a blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158950593,178654.0,289275.0,48.0,1505.0,1505.0,2176.0,TEXT,jointEmbedding,A white van driving between stone ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158988824,216885.0,289275.0,572.0,inf,inf,1118.0,TEXT,jointEmbedding,"A white van driving between stone ruins,","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158988824,216885.0,289275.0,572.0,inf,inf,1118.0,TEXT,jointEmbedding,"stone ruins, there is a blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158998934,226995.0,289275.0,297.0,297.0,297.0,1125.0,TEXT,jointEmbedding,A white van driving between stone ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668158998934,226995.0,289275.0,297.0,297.0,297.0,1125.0,TEXT,jointEmbedding,"stone ruins, there is a blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668159006894,234955.0,289275.0,297.0,297.0,297.0,1125.0,TEXT,jointEmbedding,A white van driving between stone ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668159006894,234955.0,289275.0,297.0,297.0,297.0,1125.0,TEXT,jointEmbedding,"stone ruins, there is a blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668159013076,241137.0,289275.0,308.0,308.0,308.0,2127.0,TEXT,jointEmbedding,A white van driving between stone ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668159013076,241137.0,289275.0,308.0,308.0,308.0,2127.0,TEXT,LocalizedObjectAndColors,van,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668159013076,241137.0,289275.0,308.0,308.0,308.0,2127.0,TEXT,jointEmbedding,"stone ruins, there is a blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668159013076,241137.0,289275.0,308.0,308.0,308.0,2127.0,TEXT, LocalizedObjectAndColors,1cvan 1dvan 1evan 2cvan 2dvan 2evan 3cvan 3dvan 3evan,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668159027304,255365.0,289275.0,811.0,2124.0,2124.0,5910.0,TEXT,jointEmbedding,A white van driving between stone ruins,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse008,visione1,1,1668159027304,255365.0,289275.0,811.0,2124.0,2124.0,5910.0,TEXT,LocalizedObjectAndColors,van,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=or,simReorder=false""}",visione
vbse008,visione1,1,1668159027304,255365.0,289275.0,811.0,2124.0,2124.0,5910.0,TEXT,jointEmbedding,"stone ruins, there is a blue sky with clouds","{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=or,simReorder=false""}",visione
